keys,nl
PRESERVE_TIME_TITLE,Behoud verstreken tijd
REFRESH_12H,Elke 12 uur
REFRESH_DAILY,Elke dag
REFRESH_DISABLED,Nooit
REFRESH_HINT,"Deze actie zal elke keer als je de app opstart uitgevoerd worden, volgens de ingestelde tijdsinterval."
REFRESH_NOW,Check nu
REFRESH_TITLE,Check voor nieuwe titels
REFRESH_WEEKLY,Elke week
REFRESHING_DONE,Klaar!
REFRESHING_INIT,Voorbereiden...\nHet zal niet lang duren.
REFRESHING_STEP_1,Bestanden downloaden...\nHet zal niet lang duren.
REFRESHING_STEP_2,Bestanden downloaden...\nBijna klaar.
REGION_EU,Europa
REGION_JP,Japan
REGION_TITLE,Regio van voorkeur
REGION_US,Amerika
RENAME_DEFAULT,Standaard
RENAME_HINT,Tekst wat in dit veld is ingetypt zal prioriteit nemen over de aangegeven regiotitel.
RENAME_HINT_INPUT,Aangepaste titel
RENAME_HINT_REGION,Gameregio
RENAME_TITLE,Game hernoemen
TIMER_TITLE,Statusduur
TIMER_HINT,Je status zal automatisch verborgen worden nadat de timer verloopt.
TIMER_CANCEL,Annuleren
TIMER_CONFIRM,Klaar!
TIMER_HOURS,Uren
TIMER_MINUTES,Minuten
TIMER_SECONDS,Seconden
RESET_ALL_CANCEL,Laat maar...
RESET_ALL_CONFIRM,Yes. Reset everything
RESET_ALL_HINT,"All configurations will be reseted to default, including your per-game settings.\n\nAre you sure you want to proceed with this action?\n\nThe app will be closed after this."
RESET_ALL_TITLE,Reset all data
RESET_CACHE_CANCEL,Laat maar...
RESET_CACHE_CONFIRM,Ja. Cache legen
RESET_CACHE_HINT,Gedownloade en tijdelijke bestanden zullen worden verwijderd. Er worden geen wijzigingen aangebracht aan je instellingen.\n\nDe database zal geüpdatet worden na het voltooien van deze actie.
RESET_CACHE_TITLE,Cache legen
SEARCH_BUTTON_HINT,Laat andere mensen snel de game zoeken die je momenteel aan het spelen bent.
SEARCH_BUTTON_TITLE,Zoekknop op status
SEARCH_BUTTON_TEXT,Leer meer over deze game
SETTINGS_TITLE,Instellingen
STATUS_APPLIED,Geen lopende wijzigingen
STATUS_APPLY,Status toepassen op Discord
STATUS_CONNECT,Verbinden met Discord
STATUS_VISIBLITY,Status zichtbaarheid
SYSTEM_CTR,Nintendo 3DS
SYSTEM_HAC,Nintendo Switch
SYSTEM_TITLE,Gamesysteem
SYSTEM_WUP,Wii U
TAB_DETAILS,Details
TAB_GAMES,Games
TAB_PLATFORM,Platforms
TAG_HINT_VISIBILITY,Zichtbaarheid omschakelen
TAG_ICON_HINT,"Zorgt ervoor dat je ID of Vriendcode altijd weergegeven wordt als een klein icoontje naast het icoon van de game die je aan het spelen bent, zelfs als er geen beschrijving ingesteld is."
TAG_ICON_TITLE,Altijd ID als een icoon wergeven
TAG_TITLE_FCID,Vriendcode
TAG_TITLE_NNID,Nintendo Network ID
THEME_DARK,Donker
THEME_LIGHT,Licht
THEME_TITLE,Thema
UI_SCALE_APPLY,Toepassen
UI_SCALE_TITLE,Interfacegrootte
UPDATE_CANCEL,Misschien later...
UPDATE_CONFIRM,Oké!
UPDATE_HINT,Wil je omgeleid worden naar de downloadpagina?
UPDATE_TITLE,Nieuwe versie beschikbaar
USER_CONNECTED,Verbonden
USER_CONNECTING,Verbinden...
USER_DISCONNECTED,Verbinding verbroken
VERIFIED_HINT,Geverifieerde games zullen een titel en icoon\nweergeven afhankelijk van de geselecteerde regio.
VERIFIED_TITLE,Geverifieerde games
Cut,Knippen
Copy,Kopiëren
Paste,Plakken
Select All,Alles Selecteren
Clear,Wissen
Undo,Ongedaan Maken
Redo,Opnieuw Uitvoeren
