keys,pt
RENAME_DEFAULT,Padrão
RENAME_HINT,Qualquer texto colocado neste campo terá prioridade sobre o título da região especificada.
RENAME_HINT_INPUT,Título personalizado
RENAME_HINT_REGION,Região do jogo
RENAME_TITLE,Renomear jogo
TIMER_TITLE,Duração do status
TIMER_HINT,Seu status será ocultado automaticamente depois que o cronômetro expirar.
TIMER_CANCEL,Cancelar
TIMER_CONFIRM,Pronto!
TIMER_HOURS,Horas
TIMER_MINUTES,Minutes
TIMER_SECONDS,Segundos
RESET_ALL_CANCEL,Deixa pra lá...
RESET_ALL_CONFIRM,Sim. Redefina tudo
RESET_ALL_HINT,"Todas as configurações serão redefinidas para a padrão, incluindo suas configurações definidas por jogo.\n\nTem certeza de que quer continuar com essa ação?\n\nO aplicativo será fechado depois disso."
RESET_ALL_TITLE,Redefinir tudo
RESET_CACHE_CANCEL,Deixa pra lá...
RESET_CACHE_CONFIRM,Sim. Limpe o cache
RESET_CACHE_HINT,Arquivos baixados e temporários serão removidos. Nenhuma alteração será feita em suas configurações.\n\nA base de dados será atualizada logo em seguida.
RESET_CACHE_TITLE,Limpar cache
SEARCH_BUTTON_HINT,Permite que outros possam pesquisar rapidamente pelo jogo que você está jogando no momento.
SEARCH_BUTTON_TITLE,Botão de pesquisa no status
SEARCH_BUTTON_TEXT,Saiba mais sobre esse jogo
SETTINGS_TITLE,Configurações
STATUS_APPLIED,Nenhuma alteração pendente
STATUS_APPLY,Aplicar status no Discord
STATUS_CONNECT,Conectar ao Discord
STATUS_VISIBLITY,Visibilidade do status
SYSTEM_CTR,Nintendo 3DS
SYSTEM_HAC,Nintendo Switch
SYSTEM_TITLE,Sistema de jogos
SYSTEM_WUP,Wii U
TAB_DETAILS,Detalhes
TAB_GAMES,Jogos
TAB_PLATFORM,Plataformas
TAG_HINT_VISIBILITY,Alternar visibilidade
TAG_ICON_HINT,"Garante que seu ID ou Friend Code seja sempre mostrado como um pequeno ícone ao lado do ícone do jogo que você está jogando, mesmo quando não há uma descrição definida."
TAG_ICON_TITLE,Sempre exibir o ID como um ícone
TAG_TITLE_FCID,Código de amigo (FC)
TAG_TITLE_NNID,ID da Nintendo Network
THEME_DARK,Escuro
THEME_LIGHT,Claro
THEME_TITLE,Tema
UI_SCALE_APPLY,Aplicar
UI_SCALE_TITLE,Escala da interface
UPDATE_CANCEL,Talvez depois...
UPDATE_CONFIRM,Claro!
UPDATE_HINT,Gostaria de ser redirecionado para a página de download?
UPDATE_TITLE,Nova versão disponível
USER_CONNECTED,Conectado
USER_CONNECTING,Conectando...
USER_DISCONNECTED,Desconectado
VERIFIED_HINT,Jogos verificados exibirão um título e\num ícone de acordo com a região selecionada.
VERIFIED_TITLE,Jogos verificados
Cut,Recortar
Copy,Copiar
Paste,Colar
Select All,Selecionar Tudo
Clear,Limpar
Undo,Desfazer
Redo,Refazer
