keys,de
REFRESH_HINT,"Diese Aktion wird jedes Mal ausgeführt, wenn du die App entsprechend dem eingestellten Zeitintervall öffnest."
REFRESH_NOW,Jetzt überprüfen
REFRESH_TITLE,Überprüfung auf neue Titel
REFRESH_WEEKLY,Wöchentlich
REFRESHING_DONE,Erledigt!
REFRESHING_INIT,Vorbereitung läuft...\nEs wird nur einen Moment dauern.
REFRESHING_STEP_1,Lade Dateien herunter...\nEs wird nur einen Moment dauern.
REFRESHING_STEP_2,Lade Dateien herunter...\nFast fertig.
REGION_EU,Europa
REGION_JP,Japan
REGION_TITLE,Bevorzugte Region
REGION_US,Amerika
RENAME_DEFAULT,Standard
RENAME_HINT,Jeder hier eingetippte Text hat Vorrang vor dem vorgegebenen Regionstitel.
RENAME_HINT_INPUT,Benutzerdefinierter Titel
RENAME_HINT_REGION,Region des Spiels
RENAME_TITLE,Spiel-Umbenennung
TIMER_TITLE,Status-Dauer
TIMER_HINT,Dein Status wird nach Ablauf des Timers automatisch ausgeblendet.
TIMER_CANCEL,Abbrechen
TIMER_CONFIRM,Erledigt!
TIMER_HOURS,Stunden
TIMER_MINUTES,Minuten
TIMER_SECONDS,Sekunden
RESET_ALL_CANCEL,Vergiss es...
RESET_ALL_CONFIRM,"Ja, alles zurücksetzen!"
RESET_ALL_HINT,"Alle Konfigurationen werden auf die Standardeinstellungen zurückgesetzt, einschließlich der spielspezifischen Einstellungen.\n\nBist du sicher, dass du mit dieser Aktion fortfahren möchtest?\n\nDie App wird hiernach geschlossen."
RESET_ALL_TITLE,Alle Daten zurücksetzen
RESET_CACHE_CANCEL,Vergiss es...
RESET_CACHE_CONFIRM,"Ja, Cache leeren!"
RESET_CACHE_HINT,Heruntergeladene und temporäre Dateien werden entfernt. Es werden keine Änderungen an deinen Einstellungen vorgenommen.\n\nDie Datenbank wird direkt nach Abschluss dieser Aktion aktualisiert.
RESET_CACHE_TITLE,Cache leeren
SEARCH_BUTTON_HINT,"Ermöglicht es anderen Personen, schnell nach dem Spiel zu suchen, das du gerade spielst."
SEARCH_BUTTON_TITLE,Suchen-Schaltfläche im Status
SEARCH_BUTTON_TEXT,Erfahre mehr über dieses Spiel
SETTINGS_TITLE,Einstellungen
STATUS_APPLIED,Keine offenen Änderungen
STATUS_APPLY,Status auf Discord anwenden
STATUS_CONNECT,Mit Discord verbinden
STATUS_VISIBLITY,Status-Sichtbarkeit
SYSTEM_TITLE,Konsolen-System
SYSTEM_WUP,Wii U
SYSTEM_HAC,Nintendo Switch
SYSTEM_CTR,Nintendo 3DS
SYSTEM_BEE,Nintendo Switch 2
TAB_DETAILS,Details
TAB_GAMES,Spiele
TAB_PLATFORM,Plattformen
TAG_HINT_VISIBILITY,Sichtbarkeit umschalten
TAG_ICON_HINT,"Stellt sicher, dass deine ID oder dein Freundescode immer als kleines Icon neben dem Symbol des Spiels, das du spielst, angezeigt wird - auch wenn keine Beschreibung eingestellt ist."
TAG_ICON_TITLE,ID immer als Icon anzeigen
TAG_TITLE_FCID,Freundescode
TAG_TITLE_NNID,Nintendo Network ID
THEME_DARK,Dunkel
THEME_LIGHT,Hell
THEME_TITLE,Theme
UI_SCALE_APPLY,Anwenden
UI_SCALE_TITLE,Skalierung der Benutzeroberfläche
UPDATE_CANCEL,Vielleicht später...
UPDATE_CONFIRM,Sicher!
UPDATE_HINT,Möchtest du zur Download-Seite weitergeleitet werden?
UPDATE_TITLE,Neue Version verfügbar
USER_CONNECTED,Verbunden
USER_CONNECTING,Verbinde...
USER_DISCONNECTED,Verbindung getrennt
VERIFIED_HINT,Bei verifizierten Spielen werden je nach\nausgewählter Region ein Titel und Symbol angezeigt.
VERIFIED_TITLE,Verifizierte Spiele
Cut,Ausschneiden
Copy,Kopieren
Paste,Einfügen
Select All,Alles auswählen
Clear,Löschen
Undo,Rückgängig
Redo,Wiederherstellen
